,clone_url,created_at,description,forks_count,full_name,id,language,name,size,stargazers_count,updated_at,topics,license_url
0,https://github.com/sach/System-Verilog-Packet-Library.git,2011-02-15 01:09:10+00:00,"System-Veilog Packet Library to configure, randomize, pack/unpack, copy, compare/display different headers",21,sach/System-Verilog-Packet-Library,1367664,SystemVerilog,System-Verilog-Packet-Library,653,61,2024-03-28 03:21:38+00:00,[],
1,https://github.com/dagget/programming.git,2011-02-27 10:57:15+00:00,code examples and proof of concepts,1,dagget/programming,1417558,SystemVerilog,programming,549,3,2023-12-19 09:40:53+00:00,[],
2,https://github.com/bosson/balancebook.git,2011-02-06 14:16:42+00:00,"Web ledger based on EU and SE bookkeeping standards, xml, xslt, servlets and jquery",0,bosson/balancebook,1334429,SystemVerilog,balancebook,239,1,2014-10-07 06:32:59+00:00,[],
3,https://github.com/mcgrue/sots.git,2010-12-27 01:37:41+00:00,Saga of the Stars,0,mcgrue/sots,1199571,SystemVerilog,sots,15073,1,2022-08-31 23:43:31+00:00,[],
4,https://github.com/raysalemi/uvmprimer.git,2013-11-27 19:47:21+00:00,Contains the code examples from The UVM Primer Book sorted by chapters.,195,raysalemi/uvmprimer,14757330,SystemVerilog,uvmprimer,6045,433,2024-04-11 07:12:52+00:00,[],
5,https://github.com/VerificationExcellence/SystemVerilogReference.git,2014-04-30 00:08:05+00:00,training labs and examples,171,VerificationExcellence/SystemVerilogReference,19295560,SystemVerilog,SystemVerilogReference,50,371,2024-04-08 18:57:42+00:00,[],
6,https://github.com/VerificationExcellence/UVMReference.git,2014-07-18 15:29:45+00:00,Reference examples and short projects using UVM Methodology,148,VerificationExcellence/UVMReference,21985000,SystemVerilog,UVMReference,24,237,2024-04-01 16:34:48+00:00,[],
7,https://github.com/veripool/verilog-mode.git,2013-02-24 16:06:42+00:00,"Verilog-Mode for Emacs with Indentation, Hightlighting and AUTOs. Master repository for pushing to GNU, verilog.com and veripool.org.",88,veripool/verilog-mode,8392762,SystemVerilog,verilog-mode,3186,237,2024-04-13 15:36:26+00:00,"['verilog', 'emacs-lisp', 'verilog-mode', 'systemverilog']",https://api.github.com/licenses/gpl-3.0
8,https://github.com/cluelogic/uvm-tutorial-for-candy-lovers.git,2014-04-03 16:43:26+00:00,Source code repo for UVM Tutorial for Candy Lovers,93,cluelogic/uvm-tutorial-for-candy-lovers,18410509,SystemVerilog,uvm-tutorial-for-candy-lovers,57,162,2024-03-20 01:07:13+00:00,[],
9,https://github.com/VerificationExcellence/SystemVerilogAssertions.git,2014-06-22 05:24:17+00:00,Examples and reference for System Verilog Assertions,49,VerificationExcellence/SystemVerilogAssertions,21086331,SystemVerilog,SystemVerilogAssertions,5,81,2024-04-08 10:44:43+00:00,[],
