,clone_url,created_at,description,forks_count,full_name,id,language,name,size,stargazers_count,updated_at,topics,license_url
0,https://github.com/rsd-devel/rsd.git,2019-12-11 03:22:54+00:00,RSD: RISC-V Out-of-Order Superscalar Processor,87,rsd-devel/rsd,227267635,SystemVerilog,rsd,5269,903,2024-04-11 14:56:47+00:00,[],https://api.github.com/licenses/apache-2.0
1,https://github.com/chipsalliance/Cores-VeeR-EL2.git,2020-01-09 22:16:39+00:00,VeeR EL2 Core,63,chipsalliance/Cores-VeeR-EL2,232916517,SystemVerilog,Cores-VeeR-EL2,48406,222,2024-04-08 06:37:12+00:00,"['el2', 'verilator', 'western-digital', 'riscv', 'risc-v', 'processor', 'open-source-hardware', 'fusesoc', 'rtl', 'fpga', 'axi4', 'ahb-lite', 'riscv32', 'asic-design']",https://api.github.com/licenses/apache-2.0
2,https://github.com/chipsalliance/Cores-VeeR-EH2.git,2020-01-09 22:13:22+00:00,,54,chipsalliance/Cores-VeeR-EH2,232916099,SystemVerilog,Cores-VeeR-EH2,10528,202,2024-03-01 08:22:47+00:00,[],https://api.github.com/licenses/apache-2.0
3,https://github.com/karthisugumar/CSE240D-Hierarchical_Mesh_NoC-Eyeriss_v2.git,2019-11-29 01:04:03+00:00,A SystemVerilog implementation of Row-Stationary dataflow and Hierarchical Mesh Network-on-Chip Architecture based on Eyeriss CNN Accelerator,23,karthisugumar/CSE240D-Hierarchical_Mesh_NoC-Eyeriss_v2,224752072,SystemVerilog,CSE240D-Hierarchical_Mesh_NoC-Eyeriss_v2,2371,102,2024-04-10 10:42:42+00:00,[],None
4,https://github.com/ic-lab-duth/RISC-V-Vector.git,2020-01-27 10:08:51+00:00,Vector processor for RISC-V vector ISA,21,ic-lab-duth/RISC-V-Vector,236462808,SystemVerilog,RISC-V-Vector,593,84,2024-04-09 04:48:42+00:00,"['vector-processor', 'riscv', 'risc-v', 'systemverilog']",
5,https://github.com/RC4ML/Shuhai.git,2020-01-22 07:58:00+00:00,"Shuhai is a benchmarking-memory tool that allows FPGA programmers to demystify all the underlying details of memories, e.g., HBM and DDR4, on a Xilinx FPGA",20,RC4ML/Shuhai,235525028,SystemVerilog,Shuhai,192,83,2024-03-29 07:44:54+00:00,"['benchmark', 'ddr', 'fpga', 'hbm']",None
6,https://github.com/krikzz/EDN8-PRO.git,2019-11-30 03:03:27+00:00,EverDrive N8 PRO dev sources,16,krikzz/EDN8-PRO,224951965,SystemVerilog,EDN8-PRO,62176,80,2024-03-07 02:05:04+00:00,[],https://api.github.com/licenses/gpl-3.0
7,https://github.com/seabeam/yuu_ahb.git,2019-10-15 15:56:13+00:00,UVM AHB VIP,17,seabeam/yuu_ahb,215338948,SystemVerilog,yuu_ahb,502,69,2024-04-12 08:33:33+00:00,[],https://api.github.com/licenses/mit
8,https://github.com/SonalPinto/kronos.git,2020-01-26 22:19:24+00:00,Kronos is a 3-stage in-order RISC-V RV32I_Zicsr_Zifencei core geared towards FPGA implementations,11,SonalPinto/kronos,236384260,SystemVerilog,kronos,849,59,2024-04-08 08:09:17+00:00,[],https://api.github.com/licenses/apache-2.0
9,https://github.com/bsdevlin/fpga_snark_prover.git,2019-10-04 00:31:01+00:00,"An acceleration engine for proving SNARKS over the bn128 curve, targeted for AWS FPGAs",16,bsdevlin/fpga_snark_prover,212707541,SystemVerilog,fpga_snark_prover,2756,52,2023-11-23 02:47:33+00:00,[],None
10,https://github.com/hypernyan/eth_vlg.git,2019-11-08 14:25:29+00:00,,14,hypernyan/eth_vlg,220482736,SystemVerilog,eth_vlg,6604,43,2024-02-19 15:12:37+00:00,[],None
11,https://github.com/whatmough/CHIPKIT.git,2020-01-13 00:35:34+00:00,"CHIPKIT: An agile, reusable open-source framework for rapid test chip development",6,whatmough/CHIPKIT,233481083,SystemVerilog,CHIPKIT,542,39,2024-03-20 14:28:12+00:00,[],None
12,https://github.com/ironsteel/nes_ecp5.git,2019-11-28 20:36:19+00:00,NES FPGA implementation synthesized for the ulx3s ecp5 based fpga board,13,ironsteel/nes_ecp5,224725220,SystemVerilog,nes_ecp5,336,35,2024-03-14 07:03:49+00:00,[],None
13,https://github.com/JoseIuri/UVM-APB_RAL.git,2019-10-22 18:30:57+00:00,This repository contains an example of the use of UVM Register Abstraction Layer in a verification of a simple APB DUT.,16,JoseIuri/UVM-APB_RAL,216883325,SystemVerilog,UVM-APB_RAL,97,32,2024-04-05 20:34:55+00:00,[],https://api.github.com/licenses/mit
14,https://github.com/PacoReinaCampo/MPSoC-DV.git,2020-02-11 03:07:33+00:00,Multi-Processor System on Chip verified with UVM/OSVVM/FV,14,PacoReinaCampo/MPSoC-DV,239664545,SystemVerilog,MPSoC-DV,36477,25,2024-02-24 10:36:54+00:00,"['risc-v', 'openrisc', 'msp340', 'mpsoc', 'uvm', 'osvvm', 'formal-verification']",https://api.github.com/licenses/mit
15,https://github.com/pulp-platform/stream-ebpc.git,2019-10-02 08:48:55+00:00,"Provides the hardware code for the paper ""EBPC: Extended Bit-Plane Compression for Deep Neural Network Inference and Training Accelerators"" by Lukas Cavigelli, Georg Rutishauser, Luca Benini.",9,pulp-platform/stream-ebpc,212293837,SystemVerilog,stream-ebpc,563,22,2024-04-04 00:51:39+00:00,[],
16,https://github.com/PacoReinaCampo/SoC-DV.git,2020-02-11 03:09:01+00:00,System on Chip verified with UVM/OSVVM/FV,6,PacoReinaCampo/SoC-DV,239664734,SystemVerilog,SoC-DV,23954,20,2024-03-11 09:48:53+00:00,"['risc-v', 'openrisc', 'msp340', 'soc', 'uvm', 'osvvm', 'formal-verification']",https://api.github.com/licenses/mit
17,https://github.com/yuravg/uvm_tb_cross_bar.git,2019-10-18 06:53:34+00:00,SystemVerilog UVM testbench example,10,yuravg/uvm_tb_cross_bar,215959746,SystemVerilog,uvm_tb_cross_bar,226,20,2024-02-11 04:44:34+00:00,"['uvm', 'systemverilog', 'verification']",https://api.github.com/licenses/mit
18,https://github.com/SwarmArch/chronos.git,2019-11-30 20:19:28+00:00,The Chronos FPGA Framework to accelerate ordered applications,8,SwarmArch/chronos,225065281,SystemVerilog,chronos,309822,19,2024-01-19 06:28:39+00:00,[],https://api.github.com/licenses/gpl-2.0
19,https://github.com/hdl-util/i2c.git,2020-02-13 17:51:09+00:00,Fully featured implementation of Inter-IC (I2C) bus master for FPGAs,2,hdl-util/i2c,240324749,SystemVerilog,i2c,119,18,2024-03-27 13:25:57+00:00,[],
20,https://github.com/ciniml/tn_serv.git,2019-12-17 21:35:29+00:00,SERV RISC-V sample for Tang Nano FPGA board,1,ciniml/tn_serv,228705676,SystemVerilog,tn_serv,10,18,2024-01-13 12:54:09+00:00,[],https://api.github.com/licenses/bsl-1.0
21,https://github.com/aliyun/alibabacloud-fpga.git,2019-11-07 02:32:44+00:00,,2,aliyun/alibabacloud-fpga,220134827,SystemVerilog,alibabacloud-fpga,31526,17,2024-02-06 08:20:36+00:00,[],https://api.github.com/licenses/gpl-3.0
22,https://github.com/PacoReinaCampo/SoC-RISCV.git,2020-02-11 02:54:44+00:00,System on Chip with RISCV-32 / RISCV-64 / RISCV-128,9,PacoReinaCampo/SoC-RISCV,239662615,SystemVerilog,SoC-RISCV,16564,16,2024-01-08 22:37:04+00:00,"['risc-v', 'misd', 'simd', 'soc']",https://api.github.com/licenses/mit
23,https://github.com/yamnchalich/HFRC.git,2020-01-02 20:21:07+00:00,High Frame Rate Camera Project compatible with a MicroZed 7020 SoC + FMC Carrier Board,8,yamnchalich/HFRC,231453425,SystemVerilog,HFRC,184744,16,2024-01-29 00:55:56+00:00,[],https://api.github.com/licenses/gpl-3.0
24,https://github.com/srishis/DMA8237A.git,2019-11-23 00:52:50+00:00,System Verilog based RTL design of DMA controller for 8086 microprocessor based systems.,3,srishis/DMA8237A,223510398,SystemVerilog,DMA8237A,1001,15,2024-03-25 09:55:26+00:00,[],None
25,https://github.com/seabeam/yuu_vip_gen.git,2019-11-28 16:15:41+00:00,UVM VIP architecture generator,5,seabeam/yuu_vip_gen,224689989,SystemVerilog,yuu_vip_gen,43,15,2023-08-19 01:45:37+00:00,[],https://api.github.com/licenses/mit
26,https://github.com/nockieboy/gpu.git,2019-11-13 18:47:03+00:00,"Collaborative project to create an advanced GPU, with additional features to flesh-out the peripherals for a home-made, DIY computer.",5,nockieboy/gpu,221528742,SystemVerilog,gpu,126571,15,2024-03-13 16:56:12+00:00,"['gpu', 'fpga', 'eevblog', 'diy-computer', 'ucom']",None
27,https://github.com/grant4001/MNIST_Classification_FPGA.git,2019-12-08 22:04:25+00:00,,1,grant4001/MNIST_Classification_FPGA,226738484,SystemVerilog,MNIST_Classification_FPGA,536888,13,2024-02-25 08:21:21+00:00,[],None
28,https://github.com/JoseIuri/UVM_Python_UVMC.git,2020-02-14 17:01:15+00:00,This repository contains an example of the connection between an UVM Testbench and a Python reference model using UVM Connect from Mentor®.,4,JoseIuri/UVM_Python_UVMC,240558170,SystemVerilog,UVM_Python_UVMC,18,12,2024-04-07 07:53:46+00:00,[],https://api.github.com/licenses/mit
29,https://github.com/aiju/fpga-blit.git,2019-12-24 17:26:57+00:00,FPGA implementation of the Blit terminal,0,aiju/fpga-blit,229979898,SystemVerilog,fpga-blit,165,12,2021-12-23 13:10:37+00:00,[],None
30,https://github.com/PacoReinaCampo/vhdl2verilog.git,2020-02-11 03:09:58+00:00,Hardware Description Language Translator,4,PacoReinaCampo/vhdl2verilog,239664872,SystemVerilog,vhdl2verilog,12307,12,2024-03-09 10:58:33+00:00,['eda'],https://api.github.com/licenses/mit
31,https://github.com/j1s1e1/VerilogPolarCodes.git,2019-12-30 00:30:16+00:00,"Polar coding, decoding, and testing",3,j1s1e1/VerilogPolarCodes,230820360,SystemVerilog,VerilogPolarCodes,18,12,2024-04-02 11:35:30+00:00,[],https://api.github.com/licenses/mit
32,https://github.com/NUDT-NF5/NF5.git,2019-12-02 04:33:18+00:00,A simple 5-stage Pipeline RISC-V core,3,NUDT-NF5/NF5,225285801,SystemVerilog,NF5,83773,11,2024-03-27 11:43:04+00:00,"['nudt', 'riscv', 'pipline']",https://api.github.com/licenses/bsd-3-clause
