,clone_url,created_at,description,forks_count,full_name,id,language,name,size,stargazers_count,updated_at,topics,license_url
0,https://github.com/nand2mario/usb_hid_host.git,2023-08-29 16:32:26+00:00,"A compact USB HID host FPGA core supporting keyboards, mice and gamepads.",14,nand2mario/usb_hid_host,684682042,Verilog,usb_hid_host,234,90,2024-04-04 18:26:59+00:00,[],https://api.github.com/licenses/apache-2.0
1,https://github.com/phoeniX-Digital-Design/phoeniX.git,2023-08-12 06:33:11+00:00,phoeniX RISC-V Processor,5,phoeniX-Digital-Design/phoeniX,677643796,Verilog,phoeniX,151663,41,2024-03-21 16:14:39+00:00,"['cpu-design', 'computer-architecture', 'fpga', 'vlsi', 'microprocessor', 'riscv', 'risc-v', 'cpu', 'embedded-systems', 'approximate-computing']",https://api.github.com/licenses/gpl-3.0
2,https://github.com/HIT-MaRiver-mips/cpucore-mariver.git,2023-08-22 14:06:18+00:00,,2,HIT-MaRiver-mips/cpucore-mariver,681673169,Verilog,cpucore-mariver,142,23,2024-04-10 08:03:29+00:00,[],https://api.github.com/licenses/gpl-3.0
3,https://github.com/fayizferosh/yosys-tcl-ui-report.git,2023-08-23 15:42:46+00:00,5 Day TCL begginer to advanced training workshop by VSD,1,fayizferosh/yosys-tcl-ui-report,682172722,Verilog,yosys-tcl-ui-report,1246,15,2024-04-05 06:23:27+00:00,"['bash', 'linux', 'open-source', 'opentimer', 'shell-scripting', 'static-timing-analysis', 'synthesis', 'tcl', 'tcl-extensions', 'tcl-procedures', 'tcl-programming', 'vlsi-physical-design', 'workshop', 'yosys', 'eda-tools', 'csv', 'hardware-description-language']",None
4,https://github.com/agg23/fpga-compositevideo.git,2023-08-14 22:16:43+00:00,,0,agg23/fpga-compositevideo,678580348,Verilog,fpga-compositevideo,2029,13,2023-10-26 16:36:12+00:00,[],https://api.github.com/licenses/mit
5,https://github.com/ChinnuReddySeelam/100DaysRTL_Part1_HDL.git,2023-08-27 17:27:55+00:00,,0,ChinnuReddySeelam/100DaysRTL_Part1_HDL,683784709,Verilog,100DaysRTL_Part1_HDL,10363,11,2023-12-20 16:58:09+00:00,[],None
6,https://github.com/EECS-151/asic_labs_fa23.git,2023-08-25 06:22:42+00:00,EECS 151/251A ASIC Labs,3,EECS-151/asic_labs_fa23,682903474,Verilog,asic_labs_fa23,17580,9,2024-01-29 12:15:15+00:00,[],None
7,https://github.com/Baungarten-CINVESTAV/AI_by_AI.git,2023-08-18 15:15:50+00:00,AI by AI,1,Baungarten-CINVESTAV/AI_by_AI,680195574,Verilog,AI_by_AI,760790,9,2023-12-11 17:57:59+00:00,[],https://api.github.com/licenses/apache-2.0
8,https://github.com/fm4dd/gatemate-riscv.git,2023-08-20 02:14:27+00:00,"RISCV CPU implementation tutorial steps for Cologne Chip Gatemate E1, adopted from https://github.com/BrunoLevy/learn-fpga",0,fm4dd/gatemate-riscv,680668276,Verilog,gatemate-riscv,6463,7,2024-03-18 22:04:40+00:00,"['fpga-programming', 'gatemate', 'risc-v', 'verilog']",https://api.github.com/licenses/bsd-3-clause
9,https://github.com/hsieh672/SNN-Accelerator.git,2023-08-23 07:25:59+00:00,"A three-layer LIF neuron SNN accelerator. The first layer is the input layer and has 784 neurons, that receive the encoded spikes. The second layer is the hidden layer and has 100 neurons; the last layer is the output layer with 10 neurons.",1,hsieh672/SNN-Accelerator,681984679,Verilog,SNN-Accelerator,311,6,2024-04-01 05:27:53+00:00,[],None
10,https://github.com/masc-ucsc/MASC-AI-Synthesized-Cryptoprocessor.git,2023-08-16 06:06:28+00:00,,0,masc-ucsc/MASC-AI-Synthesized-Cryptoprocessor,679114456,Verilog,MASC-AI-Synthesized-Cryptoprocessor,75244,5,2024-01-28 04:16:05+00:00,[],https://api.github.com/licenses/apache-2.0
11,https://github.com/sequencer/riscv-cosim.git,2023-08-13 14:44:45+00:00,,1,sequencer/riscv-cosim,678056615,Verilog,riscv-cosim,139,5,2024-02-04 03:14:12+00:00,[],None
12,https://github.com/shailja-thakur/AutoChip.git,2023-08-14 17:26:10+00:00,,1,shailja-thakur/AutoChip,678495903,Verilog,AutoChip,711,5,2024-03-18 19:52:14+00:00,[],https://api.github.com/licenses/apache-2.0
13,https://github.com/MarcioDzn/Sensor-Digital-em-FPGA-utilizando-Comunicacao-Serial.git,2023-08-27 18:46:02+00:00,,0,MarcioDzn/Sensor-Digital-em-FPGA-utilizando-Comunicacao-Serial,683804391,Verilog,Sensor-Digital-em-FPGA-utilizando-Comunicacao-Serial,12858,5,2023-11-24 21:35:09+00:00,[],None
14,https://github.com/jwangtobeno1/mymemc.git,2023-08-28 13:33:02+00:00,A Memory Controller,0,jwangtobeno1/mymemc,684111800,Verilog,mymemc,323,5,2023-08-29 08:14:00+00:00,[],None
